0,1,2,3,4,5,6
Apple,iPhone 15 Pro Max 256GB,$1.459.990,256 GB,67.0,48 + 12 + 12 MP,prod2190082..................................................................................................................................................................................................................................
Apple,iPhone 15 128GB ,$969.990,128 GB,61.0,,prod2190068.......................................................................................................................................................................................................................................................
Xiaomi,Redmi 10 5G 128GB,$119.990,128 GB,658.0,50 + 2 MP,prod1960057..............................................................................................................................................................................................................................................
Samsung,Galaxy S23 Ultra 5G 512GB + Cargador,$1.039.990,512 GB,0.0,200 + 12 + 10 + 10 MP,prod2190047..............................................................................................................................................................................................................
Apple,iPhone 13 128GB + Cargador ,$709.990,128 GB,61.0,12 + 12 MP,prod2190045.....................................................................................................................................................................................................................................
Apple,iPhone 13 Mini 256GB ,$599.990,256 GB,5.4,12 + 12 MP,prod2200069............................................................................................................................................................................................................................................
Samsung,Galaxy S23 FE 5G 128GB,$599.990,128 GB,64.0,50 + 12 + 8 MP,prod2190119....................................................................................................................................................................................................................................
Apple,iPhone 15 Pro 128GB + Cargador,$1.239.990,128 GB,61.0,48 + 12 + 12 MP,prod2190116...........................................................................................................................................................................................................................
Apple,iPhone 15 Pro Max 256GB + Cargador,$1.469.990,256 GB,67.0,48 + 12 + 12 MP,prod2190117.......................................................................................................................................................................................................................
Samsung,Galaxy S22 5G 256GB ,$549.990,256 GB,61.0,50 + 12 + 10 MP,prod1820063.....................................................................................................................................................................................................................................
Apple,iPhone 15 Pro 128GB ,$1.219.990,128 GB,61.0,48 + 12 + 12 MP,prod2190076.....................................................................................................................................................................................................................................
Samsung,Galaxy A54 5G 256GB,$339.990,256 GB,64.0,50 + 12 + 5 MP,prod2100065.......................................................................................................................................................................................................................................
Apple,iPhone 14 128GB ,$814.990,128 GB,61.0,12 + 12 MP,prod1950066................................................................................................................................................................................................................................................
Motorola, Moto Edge 40 5G 256GB,$329.990,256 GB,655.0,50 + 13 MP,prod2100079......................................................................................................................................................................................................................................
Samsung,Galaxy S21 FE 5G 256GB,$489.990,256 GB,6.4,12 + 12 + 8 MP,prod2050058.....................................................................................................................................................................................................................................
Apple,iPhone 11 64GB,$449.990,64 GB,61.0,12 + 12 MP,prod1070044...................................................................................................................................................................................................................................................
Apple,iPhone 13 Mini 512GB,$639.990,512 GB,5.4,12 + 12 MP,prod1720053.............................................................................................................................................................................................................................................
Apple,iPhone 14 Plus 256GB,$959.990,256 GB,67.0,12 + 12 MP,prod1960047............................................................................................................................................................................................................................................
Apple,iPhone 15 256GB ,$1.099.990,256 GB,61.0,,prod2190071.....................................................................................................................................................................................................................................................
Apple,iPhone 13 Pro 128GB Seminuevo,$859.990,128 GB,61.0,12 + 12 + 12 MP,prod1890044..............................................................................................................................................................................................................................
Apple,iPhone 13 Pro 256GB Seminuevo,$939.990,256 GB,61.0,12 + 12 + 12 MP,prod2190107..............................................................................................................................................................................................................................
Motorola,Moto G84 (5G) 256GB,$229.990,256 GB,0.0,50 + 8 MP,prod2190070............................................................................................................................................................................................................................................
Motorola, Moto Edge 40 Neo 5G 256GB,$289.990,256 GB,655.0,50 + 13 MP,prod2190110..................................................................................................................................................................................................................................
Apple,iPhone 15 Pro Max 256GB,$1.459.990,256 GB,67.0,48 + 12 + 12 MP,prod2190082..................................................................................................................................................................................................................................
Apple,iPhone 15 128GB ,$969.990,128 GB,61.0,,prod2190068.......................................................................................................................................................................................................................................................
Xiaomi,Redmi 10 5G 128GB,$119.990,128 GB,658.0,50 + 2 MP,prod1960057..............................................................................................................................................................................................................................................
Samsung,Galaxy S23 Ultra 5G 512GB + Cargador,$1.039.990,512 GB,0.0,200 + 12 + 10 + 10 MP,prod2190047..............................................................................................................................................................................................................
Apple,iPhone 13 128GB + Cargador ,$709.990,128 GB,61.0,12 + 12 MP,prod2190045.....................................................................................................................................................................................................................................
Apple,iPhone 13 Mini 256GB ,$599.990,256 GB,5.4,12 + 12 MP,prod2200069............................................................................................................................................................................................................................................
Samsung,Galaxy S23 FE 5G 128GB,$599.990,128 GB,64.0,50 + 12 + 8 MP,prod2190119....................................................................................................................................................................................................................................
Apple,iPhone 15 Pro 128GB + Cargador,$1.239.990,128 GB,61.0,48 + 12 + 12 MP,prod2190116...........................................................................................................................................................................................................................
Apple,iPhone 15 Pro Max 256GB + Cargador,$1.469.990,256 GB,67.0,48 + 12 + 12 MP,prod2190117.......................................................................................................................................................................................................................
Samsung,Galaxy S22 5G 256GB ,$549.990,256 GB,61.0,50 + 12 + 10 MP,prod1820063.....................................................................................................................................................................................................................................
Apple,iPhone 15 Pro 128GB ,$1.219.990,128 GB,61.0,48 + 12 + 12 MP,prod2190076.....................................................................................................................................................................................................................................
Samsung,Galaxy A54 5G 256GB,$339.990,256 GB,64.0,50 + 12 + 5 MP,prod2100065.......................................................................................................................................................................................................................................
Apple,iPhone 14 128GB ,$814.990,128 GB,61.0,12 + 12 MP,prod1950066................................................................................................................................................................................................................................................
Motorola, Moto Edge 40 5G 256GB,$329.990,256 GB,655.0,50 + 13 MP,prod2100079......................................................................................................................................................................................................................................
Samsung,Galaxy S21 FE 5G 256GB,$489.990,256 GB,6.4,12 + 12 + 8 MP,prod2050058.....................................................................................................................................................................................................................................
Apple,iPhone 11 64GB,$449.990,64 GB,61.0,12 + 12 MP,prod1070044...................................................................................................................................................................................................................................................
